City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
luyang,0,CN,1554512400,60,31.88,117.26,68.0,11.18
severo-kurilsk,88,RU,1554514427,95,50.68,156.12,33.11,13.13
aksarka,12,RU,1554514427,80,66.56,67.8,19.52,13.02
ushuaia,40,AR,1554512400,80,-54.81,-68.31,41.0,39.15
jatiroto,92,ID,1554514427,100,-7.61,109.46,78.29,4.41
victoria,75,BN,1554512400,74,5.28,115.24,86.0,3.36
piacabucu,0,BR,1554514428,89,-10.41,-36.43,76.85,5.75
punta arenas,75,CL,1554512400,80,-53.16,-70.91,41.0,23.04
noumea,20,NC,1554512400,39,-22.28,166.46,84.2,10.29
fairbanks,1,US,1554514125,32,64.84,-147.72,44.6,14.99
imbituba,75,BR,1554512400,78,-28.24,-48.67,71.6,10.29
cape town,0,ZA,1554514091,72,-33.93,18.42,60.01,8.05
bubaque,0,GW,1554514429,88,11.28,-15.83,81.53,16.04
severo-yeniseyskiy,0,RU,1554514429,61,60.37,93.04,32.12,7.43
mataura,0,NZ,1554513607,50,-46.19,168.86,57.0,4.0
chicama,0,PE,1554512400,83,-7.84,-79.15,69.8,6.93
maragogi,100,BR,1554514430,86,-9.01,-35.22,79.46,4.74
bluff,0,AU,1554514210,44,-23.58,149.07,85.13,9.44
port alfred,80,ZA,1554514343,93,-33.59,26.89,57.99,1.01
dikson,76,RU,1554514431,100,73.51,80.55,20.33,13.13
busselton,0,AU,1554514209,39,-33.64,115.35,63.0,6.53
sao filipe,24,CV,1554514431,99,14.9,-24.5,70.01,17.94
kapaa,1,US,1554514405,57,22.08,-159.32,80.6,8.05
tuktoyaktuk,5,CA,1554512400,84,69.44,-133.03,1.4,9.17
vestmannaeyjar,0,IS,1554514432,100,63.44,-20.27,35.45,12.01
gorey,92,SO,1554514432,95,3.22,43.63,73.25,6.53
ngozi,56,BI,1554514433,89,-2.91,29.82,54.71,2.73
jamestown,0,AU,1554514324,36,-33.21,138.6,72.71,4.07
nadym,64,RU,1554514433,88,65.53,72.51,23.21,23.2
bredasdorp,0,ZA,1554514233,93,-34.53,20.04,57.0,5.82
fortuna,0,ES,1554514414,76,38.18,-1.13,51.01,9.17
georgetown,20,GY,1554512400,74,6.8,-58.16,80.6,9.17
ardakan,75,IR,1554512400,39,32.31,54.02,66.2,11.41
albany,90,US,1554514282,80,42.65,-73.75,35.01,5.82
kawai,20,JP,1554514322,51,34.58,135.74,66.99,13.87
saint george,90,GR,1554511800,71,39.45,22.34,53.6,2.84
port lincoln,8,AU,1554514436,89,-34.72,135.86,65.51,4.41
goranboy,90,AZ,1554512400,100,40.61,46.79,48.2,4.7
qaanaaq,0,GL,1554514436,67,77.48,-69.36,-5.05,6.87
rikitea,48,PF,1554514437,100,-23.12,-134.97,77.48,14.81
aitape,8,PG,1554514437,87,-3.15,142.36,84.95,4.74
ribeira grande,76,PT,1554514437,96,38.52,-28.7,61.28,20.18
nushki,0,PK,1554514234,37,29.55,66.02,63.71,3.96
pochutla,75,MX,1554514282,66,15.74,-96.47,84.2,11.41
solnechnyy,88,RU,1554514437,77,50.72,136.64,34.28,7.99
vila velha,0,BR,1554513491,88,-3.71,-38.6,78.8,2.24
nachingwea,76,TZ,1554514438,96,-10.37,38.76,72.35,2.28
hilo,75,US,1554514398,61,19.71,-155.08,80.6,12.75
dolinsk,75,RU,1554512400,69,47.32,142.8,37.4,4.47
saint-philippe,90,CA,1554514433,86,45.36,-73.48,35.01,12.75
japura,32,ID,1554514439,82,-0.42,102.29,83.78,1.61
avarua,0,CK,1554512400,69,-21.21,-159.78,80.6,6.93
sekoma,32,BW,1554514439,95,-24.51,23.93,57.68,9.44
kavaratti,0,IN,1554514439,100,10.57,72.64,83.78,4.41
vardo,90,US,1554514435,86,39.62,-77.74,44.01,6.93
pontes e lacerda,100,BR,1554514440,90,-15.23,-59.33,65.42,8.1
touros,20,BR,1554512400,94,-5.2,-35.46,77.0,3.36
hermanus,0,ZA,1554514266,88,-34.42,19.24,57.0,5.99
bilma,0,NE,1554514441,26,18.69,12.92,66.68,2.84
cabot,1,US,1554514331,68,34.97,-92.02,68.0,4.7
ponta do sol,32,BR,1554514426,96,-20.63,-46.0,67.85,3.4
faanui,88,PF,1554514207,100,-16.48,-151.75,84.77,14.81
makakilo city,1,US,1554514386,51,21.35,-158.09,84.0,14.99
atuona,92,PF,1554514385,99,-9.8,-139.03,82.88,14.03
yumen,0,CN,1554514442,30,40.29,97.04,60.74,6.76
lasa,0,CY,1554514262,87,34.92,32.53,55.4,5.82
whitehorse,90,CA,1554513743,63,60.72,-135.06,30.99,12.75
castro,90,CL,1554512400,87,-42.48,-73.76,50.0,2.24
hithadhoo,0,MV,1554514442,100,-0.6,73.08,83.69,4.97
esperance,20,TT,1554514317,74,10.24,-61.45,78.8,6.64
nizhniy tsasuchey,0,RU,1554514443,41,50.52,115.13,36.17,17.27
tezu,0,IN,1554514443,58,27.93,96.16,66.05,0.38
yellowknife,20,CA,1554512400,44,62.45,-114.38,21.2,3.36
port hawkesbury,1,CA,1554514414,42,45.62,-61.36,32.0,4.7
bowen,75,AU,1554514054,69,-20.01,148.25,82.99,20.8
talnakh,76,RU,1554514444,96,69.49,88.39,20.15,14.25
chokurdakh,12,RU,1554514428,100,70.62,147.9,18.98,5.75
mar del plata,12,AR,1554514402,53,-46.43,-67.52,62.9,33.15
vila,75,IT,1554514444,70,45.18,8.4,52.0,2.24
barrow,0,AR,1554514445,69,-38.31,-60.23,54.62,12.8
new norfolk,40,AU,1554514395,42,-42.78,147.06,64.99,23.04
nanortalik,88,GL,1554514445,92,60.14,-45.24,32.21,26.55
seoul,20,KR,1554513000,49,37.57,126.98,53.6,5.82
tasiilaq,56,GL,1554511800,68,65.61,-37.64,30.2,26.4
longyearbyen,90,NO,1554511800,62,78.22,15.63,19.4,1.12
henties bay,8,NA,1554512539,93,-22.12,14.28,59.0,7.0
yulara,0,AU,1554512400,25,-25.24,130.99,84.2,12.75
upernavik,36,GL,1554514446,100,72.79,-56.15,15.38,9.89
nikolskoye,0,RU,1554514277,68,59.7,30.79,36.0,2.62
shingu,20,JP,1554512400,45,33.72,135.99,66.2,16.11
east london,92,ZA,1554514447,100,-33.02,27.91,64.52,6.76
torbay,75,CA,1554514401,63,47.66,-52.73,30.0,24.16
khandyga,24,RU,1554514448,64,62.65,135.58,34.37,3.4
kahului,40,US,1554514442,48,20.89,-156.47,84.2,8.05
linhai,0,CN,1554513990,63,28.86,121.14,70.0,5.86
saint-francois,88,FR,1554514329,75,46.42,3.91,46.4,8.05
mackay,75,CA,1554512400,75,53.65,-115.58,41.0,8.05
muisne,56,EC,1554514449,90,0.61,-80.02,73.52,4.07
amherst,90,CA,1554514229,40,45.83,-64.21,33.8,9.17
lebu,75,ET,1554512400,72,8.96,38.73,60.8,10.29
sorland,0,NO,1554514450,100,67.67,12.69,38.15,1.61
mahebourg,75,MU,1554514441,83,-20.41,57.7,78.8,12.75
esso,0,RU,1554514451,85,55.93,158.7,27.8,6.2
urdoma,0,RU,1554514451,90,61.74,48.55,26.45,5.97
kodiak,1,US,1554514407,54,39.95,-94.76,60.8,9.17
kuli,0,UA,1554513914,51,49.94,30.53,44.01,4.47
